foreign,-2
forfeit,-2
forgave,2
forgetfulness,-2
forgiv*,2
forlorn*,-3
formidable,-2
forsake,-2
fought,-3
founder,-2
fracture*,-2
fragile,-2
frantic*,-2
fraud*,-2
fraught,-2
freak*,-2
fret*,-3
fretsaw*,-1
friend*,2
fright*,-4
frigid*,-2
frivolous,-2
frolic*,4
frown*,-2
fruitless,-2
frustrat*,-3
fuck,-3
fucked*,-3
fucker*,-3
fuckface,-3
fuckin*,-1
fucks,-3
fuckwit,-2
fuctard,-2
fud,-3
fugitive*,-2
fugly,-4
fumble*,-2
fume*,-3
fumes,-2
fuming,-4
fun,2
funn*,2
funnel*,1
furious*,-4
fury,-4
fuss,-2
fussy,-2
futility,-2
gall,-2
gamble*,-2
gaol*,-2
garbage,-3
gash*,-2
gassed,-2
gaudy,-2
gay,-2
geek*,-1
genero*,2
gentle,2
gentler,3
gentlest,3
gently,2
germ*,-2
ghastly,-2
ghetto,-2
gibberi*,-2
giggl*,3
glad,2
gladden*,3
gladly,2
gladness,3
glamor*,2
glamour*,2
glare*,-2
gloat*,-2
gloom*,-3
glori*,2
glorification,-2
glory,2
glum*,-3
gmbo,3
goddam*,-3
good,2
goodness,3
gorgeous*,3
gossip*,-1
grab*,-2
grace,3
graced,2
graceful*,3
graces,2
graci*,2
gracil*,1
grand,2
grande*,2
grapple,-2
gratef*,2
grati*,2
gratuitous,-2
grave*,-3
gravel*,1
great*,3
greed*,-3
grief,-4
griev*,-4
grim*,-3
grime*,-2
grimi*,-2
grin,2
grinn*,2
grins,2
grizzly,-2
gross*,-2
grotesque,-2
grouch*,-2
groucho*,1
growl,-2
grr*,-3
grudge,-2
gruff,-2
grumbl*,-3
guerrilla*,-2
guilt*,-4
guiltless*,1
guise,-2
gullible,-2
gun*,-2
gunmen,-2
h8,-4
ha,2
hack,-2
hag,-2
haggard,-2
haha*,2
halfwit,-2
handicap,-2
handsom*,2
hang,-2
hangover*,-3
haphazard*,-2
hapless*,-2
happi*,3
happy,2
harass*,-3
hardship*,-2
harm,-3
harmed,-3
harmful*,-2
harming,-3
harmless*,2
harmon*,2
harmonic*,1
harmonies,1
harmonisation,1
harmonization,1
harms,-3
harsh,-2
hassle*,-2
hate,-4
hated,-4
hateful*,-4
hater*,-4
hates,-4
hating,-4
hatred,-4
haughty,-2
haunt,-2
havoc,-2
hazard,-2
hazardous,-2
haziness,-2
hazy,-2
headache,-2
heartbreak*,-4
heartbroke*,-4
heartfelt,2
heartless*,-3
heartwarm*,3
heaven*,2
hectic,-2
heedless,-2
hehe*,2
heinous*,-5
hell,-2
hellish,-3
helpful*,2
helpless*,-2
hero*,3
hesita*,-1
hey,2
hideous,-2
hijack*,-2
hilarious*,3
hilarity,3
hinder,-2
hindrance,-2
hoard*,-2
hobble,-2
hogwash,-2
hoho*,3
hollow,-2
homely,-2
homesick*,-3
homie,2
homo,-3
honest*,1
honesty,2
honor*,1
honorabl*,2
honour*,1
honourabl*,2
hooey,-2
hope,3
hoped,2
hopeful,2
hopefully,1
hopefulness,2
hopeless*,-4
hopes,2
hoping,2
horde,-2
horr*,-4
hostil*,-3
hug,3
hugg*,3
hugs,3
humiliat*,-4
humor*,3
humorless*,-3
humour*,3
humourless*,-3
hunger,-2
hungr*,-2
hunter,-2
hurra*,3
hurt*,-3
hurtl*,1
hustle,-2
hustler,-2
hypochondriac,-2
hypocrisy,-2
hypocrite,-3
hysteria,-2
hysterical,-2
idioc*,-3
idiot*,-3
idleness,-2
ignoble,-2
ignor*,-3
ignore*,1
ignoring,1
ill,-2
illegal,-2
illegality,-2
illiterate,-2
illness,-2
illogical,-2
imaginative*,2
imbecile,-2
immaculate*,2
immature,-2
immobility,-2
immoral*,-3
immortal,2
immovable,-2
impair*,-2
impasse,-2
impatien*,-2
impede*,-2
impediment,-2
imperfect*,-2
impersonal,-1
impetuous*,-2
implicate,-2
implore,-2
impolite*,-3
importan*,1
impose*,-2
imprecision,-2
impress*,2
impression*,1
imprison*,-2
improp*,-2
improve*,2
improving,2
impulsive,-2
impure,-2
impurity,-2
inability,-2
inaccessib*,-2
inaccuracy,-2
inadequa*,-2
inane,-2
incapable,-2
incentive*,1
incessant,-2
incompatib*,-3
incompeten*,-3
inconsisten*,-2
inconvenien*,-2
incorrect,-2
incredible,1
incurable,-2
indecen*,-3
indecis*,-2
indefinite,-2
indetermin*,-2
indictment,-2
indifference,-2
indifferent,-2
indignation,-3
indulge,-2
ineffect*,-2
inefficiency,-2
inequalit*,-2
inexact*,-2
inexplicable,-2
infamous*,-2
infect*,-2
inferior* ,-2
infest*,-3
infiltrat*,-2
inflame*,-2
inflation,-2
inflict,-2
infraction*,-2
infringement*,-2
infuriate*,-2
ingratitude,-2
inhib*,-2
inhuman*,-3
injunction*,-2
injure,-2
injurious,-2
injury,-2
innocen*,2
insane,-2
insecur*,-2
insensible,-2
insidious*,-3
insignifican*,-2
insincer*,-3
insinuat*,-2
insolence,-2
insolent,-2
inspir*,3
instability,-2
instable,-2
insufficien*,-2
insult*,-3
intellect,1
intelligent*,2
intelligib*,1
interest*,2
interfer*,-2
interrup*,-2
intimidat*,-4
intolerable,-4
intolleran*,-3
intoxicate*,-2
intrud*,-2
intrusion*,-2
inundate*,-2
invade*,-2
invalid*,-2
invigor*,2
invisible,-2
involuntary,-2
irk*,-2
ironic*,-2
irony,-2
irrational*,-3
irregular*,-2
irresponsib*,-2
irrita*,-3
isolat*,-2
jackass*,-2
